order_id,customer_id,order_date,product_name,category,quantity,unit_price_inr,discount_pct,channel,subscription_type,city
ORD100013,CUST00004,2023-12-17,Attikan Estate AA - 250g,Coffee Beans,1,449,0.0,Mobile App,Monthly,Jaipur
ORD100013,CUST00004,2023-12-17,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Monthly,Jaipur
ORD100013,CUST00004,2023-12-17,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Monthly,Jaipur
ORD100018,CUST00005,2025-01-15,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,,One-time,Kolkata
ORD100018,CUST00005,2025-01-15,Manual Burr Grinder,Equipment,2,2499,0.0,Marketplace,One-time,Kolkata
ORD100018,CUST00005,2025-01-15,Kaapi Culture Mug,Merchandise,-2,349,15.0,Marketplace,One-time,Kolkata
ORD100018,CUST00005,2025-01-15,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Marketplace,One-time,Kolkata
ORD100016,CUST00005,2025-01-26,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Mobile App,One-time,Calcutta
ORD100016,CUST00005,2025-01-26,French Press - 600ml,Equipment,1,1199,0.0,Mobile App,One-time,Calcutta
ORD100017,CUST00005,2025-06-02,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Website,One-time,Kolkata
ORD100021,CUST00006,2025-02-05,Baba Budangiri Peaberry - 250g,Coffee Beans,2,499,0.0,Website,Monthly,bengaluru
ORD100020,CUST00006,2025-03-11,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Marketplace,Monthly,Bengaluru
ORD100019,CUST00006,2025-03-22,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Website,One-time,Bangalore
ORD100022,CUST00007,2025-05-30,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Mobile App,Monthly,Jaipur
ORD100022,CUST00007,2025-05-30,Kaapi Culture Mug,Merchandise,1,349,0.0,Mobile App,Monthly,Jaipur
ORD100023,CUST00007,2025-06-09,Attikan Estate AA - 250g,Coffee Beans,1,449,0.0,Mobile App,Bi-Weekly,Jaipur
ORD100026,CUST00007,2025-06-29,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Marketplace,Quarterly,jaipur
ORD100024,CUST00007,2025-07-09,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Website,One-time,jaipur
ORD100025,CUST00007,2025-07-20,Explorer Subscription Box (5 origins),Subscription Box,1,1899,,Retail Store,One-time,jaipur
ORD100027,CUST00007,2025-08-29,French Press - 600ml,Equipment,1,1199,0.0,Marketplace,One-time,jaipur
ORD100027,CUST00007,2025-08-29,Reusable Cold Brew Bottle,Merchandise,2,599,15.0,Marketplace,One-time,jaipur
ORD100028,CUST00008,2024-03-07,Kaapi Culture Mug,Merchandise,2,349,0.0,Mobile App,Quarterly,jaipur
ORD100028,CUST00008,2024-03-07,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Mobile App,Quarterly,jaipur
ORD100028,CUST00008,2024-03-07,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Quarterly,jaipur
ORD100032,CUST00009,2024-03-01,Explorer Subscription Box (5 origins),Subscription Box,1,1899,20.0,Website,One-time,Jaipur
ORD100032,CUST00009,2024-03-01,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Website,One-time,Jaipur
ORD100030,CUST00009,2024-03-23,Baba Budangiri Peaberry - 250g,Coffee Beans,-1,499,20.0,Website,Quarterly,jaipur
ORD100031,CUST00009,2024-04-02,Discovery Subscription Box (3 origins),Subscription Box,1,1299,10.0,Mobile App,Monthly,Jaipur
ORD100031,CUST00009,2024-04-02,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Monthly,Jaipur
ORD100033,CUST00009,2024-06-02,Coorg Robusta Blend - 500g,Coffee Beans,1,599,15.0,Website,One-time,jaipur
ORD100034,CUST00009,2025-01-20,French Press - 600ml,Equipment,1,1199,15.0,Mobile App,Monthly,Jaipur
ORD100029,CUST00009,2025-05-14,Coorg Robusta Blend - 500g,Coffee Beans,1,599,15.0,Retail Store,Quarterly,Jaipur
ORD100029,CUST00009,2025-05-14,Coorg Robusta Blend - 500g,Coffee Beans,2,599,0.0,Retail Store,Quarterly,Jaipur
ORD100035,CUST00009,2025-06-08,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Mobile App,Monthly,Jaipur
ORD100035,CUST00009,2025-06-08,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Monthly,Jaipur
ORD100038,CUST00010,2023-02-15,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Monthly,Ahmedabad
ORD100036,CUST00010,2023-05-25,Explorer Subscription Box (5 origins),Subscription Box,1,1899,10.0,Website,Monthly,ahmedabad
ORD100036,CUST00010,2023-05-25,French Press - 600ml,Equipment,1,1199,10.0,Website,Monthly,ahmedabad
ORD100037,CUST00010,2023-06-14,Kaapi Culture Mug,Merchandise,1,349,0.0,Website,One-time,ahmedabad
ORD100037,CUST00010,2023-06-14,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,10.0,Website,One-time,ahmedabad
ORD100037,CUST00010,2023-06-14,Chikmagalur Single Origin - 250g,Coffee Beans,2,529,0.0,Website,One-time,ahmedabad
ORD100037,CUST00010,2023-06-14,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Website,One-time,ahmedabad
ORD100039,CUST00010,2023-07-10,Manual Burr Grinder,Equipment,1,2499,0.0,Retail Store,Monthly,Ahmedabad
ORD100041,CUST00011,2023-12-09,Attikan Estate AA - 250g,Coffee Beans,-2,449,0.0,Website,Quarterly,MUMBAI
ORD100044,CUST00011,2023-12-18,Manual Burr Grinder,Equipment,1,2499,0.0,Website,Quarterly,Mumbai
ORD100043,CUST00011,2024-08-03,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,Bi-Weekly, Mumbai
ORD100042,CUST00011,2024-10-16,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Monthly, Mumbai
ORD100040,CUST00011,2025-03-06,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,,Marketplace,Bi-Weekly,MUMBAI
ORD100050,CUST00012,2024-09-14,Kaapi Culture Mug,Merchandise,1,349,0.0,Mobile App,Monthly,Pune
ORD100050,CUST00012,2024-09-14,Chikmagalur Single Origin - 250g,Coffee Beans,3,529,10.0,Mobile App,Monthly,Pune
ORD100050,CUST00012,2024-09-14,Coorg Robusta Blend - 500g,Coffee Beans,1,599,10.0,Mobile App,Monthly,Pune
ORD100050,CUST00012,2024-09-14,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Monthly,Pune
ORD100049,CUST00012,2024-09-16,Kaapi Culture Mug,Merchandise,1,349,25.0,Mobile App,Monthly,Pune
ORD100049,CUST00012,2024-09-16,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Mobile App,Monthly,Pune
ORD100046,CUST00012,2025-02-27,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,25.0,Marketplace,One-time,pune
ORD100051,CUST00012,2025-03-30,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Retail Store,One-time,pune
ORD100048,CUST00012,2025-05-16,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Mobile App,Bi-Weekly,pune
ORD100045,CUST00012,2025-06-29,Pour-Over Dripper,Equipment,1,899,0.0,Website,One-time,pune
ORD100045,CUST00012,2025-06-29,Pour-Over Dripper,Equipment,1,899,0.0,Website,One-time,pune
ORD100047,CUST00012,2025-08-04,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Website,Monthly,Pune 
ORD100047,CUST00012,2025-08-04,Kaapi Culture Mug,Merchandise,1,349,0.0,Website,Monthly,Pune 
ORD100052,CUST00013,2024-12-25,Pour-Over Dripper,Equipment,-1,899,15.0,Mobile App,One-time,chennai
ORD100053,CUST00014,2023-08-24,Pour-Over Dripper,Equipment,1,899,0.0,Marketplace,Monthly,Delhi
ORD100053,CUST00014,2023-08-24,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Marketplace,Monthly,Delhi
ORD100064,CUST00015,2024-10-16,Coorg Robusta Blend - 500g,Coffee Beans,1,599,15.0,Mobile App,One-time,Chennai
ORD100064,CUST00015,2024-10-16,Kaapi Culture Mug,Merchandise,1,349,10.0,Mobile App,One-time,Chennai
ORD100057,CUST00015,2024-12-23,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Bi-Weekly,chennai
ORD100057,CUST00015,2024-12-23,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Bi-Weekly,chennai
ORD100054,CUST00015,2024-12-31,Explorer Subscription Box (5 origins),Subscription Box,1,1899,,Mobile App,Bi-Weekly,chennai
ORD100065,CUST00015,2025-01-04,Cold Brew Concentrate - 500ml,Ready to Drink,2,349,0.0,Website,Quarterly,chennai
ORD100066,CUST00015,2025-01-10,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,10.0,Mobile App,One-time,Chennai
ORD100066,CUST00015,2025-01-10,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Mobile App,One-time,Chennai
ORD100066,CUST00015,2025-01-10,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,,Mobile App,One-time,Chennai
ORD100058,CUST00015,2025-01-29,Reusable Cold Brew Bottle,Merchandise,1,599,20.0,Website,Monthly,chennai
ORD100061,CUST00015,2025-02-18,Pour-Over Dripper,Equipment,1,899,0.0,Website,One-time,Chennai
ORD100060,CUST00015,2025-03-25,Reusable Cold Brew Bottle,Merchandise,2,599,0.0,Mobile App,One-time,chennai
ORD100055,CUST00015,2025-05-09,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,One-time,chennai
ORD100055,CUST00015,2025-05-09,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,One-time,chennai
ORD100063,CUST00015,2025-06-05,Explorer Subscription Box (5 origins),Subscription Box,1,1899,10.0,Marketplace,One-time,chennai
ORD100063,CUST00015,2025-06-05,Reusable Cold Brew Bottle,Merchandise,1,599,20.0,Marketplace,One-time,chennai
ORD100063,CUST00015,2025-06-05,Chikmagalur Single Origin - 250g,Coffee Beans,2,529,0.0,Marketplace,One-time,chennai
ORD100059,CUST00015,2025-07-14,Manual Burr Grinder,Equipment,1,2499,0.0,Mobile App,Bi-Weekly,Chennai
ORD100059,CUST00015,2025-07-14,Chikmagalur Single Origin - 250g,Coffee Beans,-1,529,20.0,Mobile App,Bi-Weekly,Chennai
ORD100062,CUST00015,2025-08-12,Chikmagalur Single Origin - 250g,Coffee Beans,2,529,25.0,Mobile App,One-time,chennai
ORD100056,CUST00015,2025-08-25,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Retail Store,Monthly,Chennai
ORD100056,CUST00015,2025-08-25,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,15.0,Retail Store,Monthly,Chennai
ORD100056,CUST00015,2025-08-25,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Retail Store,Monthly,Chennai
ORD100067,CUST00016,2025-04-12,Filter Coffee Decoction - 200ml,Ready to Drink,2,149,0.0,Website,Quarterly,kolkata
ORD100067,CUST00016,2025-04-12,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Quarterly,kolkata
ORD100067,CUST00016,2025-04-12,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,,Website,Quarterly,kolkata
ORD100074,CUST00017,2023-08-08,Manual Burr Grinder,Equipment,1,2499,0.0,Marketplace,One-time,chennai
ORD100074,CUST00017,2023-08-08,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Marketplace,One-time,chennai
ORD100073,CUST00017,2023-10-30,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,10.0,Retail Store,Monthly,chennai
ORD100073,CUST00017,2023-10-30,Chikmagalur Single Origin - 250g,Coffee Beans,2,529,0.0,Retail Store,Monthly,chennai
ORD100070,CUST00017,2023-11-23,Pour-Over Dripper,Equipment,1,899,0.0,Website,One-time,chennai
ORD100071,CUST00017,2023-12-29,Pour-Over Dripper,Equipment,1,899,0.0,Marketplace,Monthly,Chennai
ORD100071,CUST00017,2023-12-29,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Marketplace,Monthly,Chennai
ORD100072,CUST00017,2024-01-25,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Website,One-time,chennai
ORD100075,CUST00017,2024-03-13,Baba Budangiri Peaberry - 250g,Coffee Beans,-1,499,0.0,Website,One-time,Chennai
ORD100078,CUST00017,2024-07-11,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Mobile App,Quarterly,Chennai
ORD100078,CUST00017,2024-07-11,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Mobile App,Quarterly,Chennai
ORD100077,CUST00017,2024-08-31,Filter Coffee Decoction - 200ml,Ready to Drink,2,149,20.0,Mobile App,One-time,chennai
ORD100069,CUST00017,2024-11-09,French Press - 600ml,Equipment,1,1199,10.0,Website,One-time,Chennai
ORD100069,CUST00017,2024-11-09,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Website,One-time,Chennai
ORD100076,CUST00017,2024-11-10,Pour-Over Dripper,Equipment,3,899,15.0,,Quarterly,chennai
ORD100068,CUST00017,2025-01-26,French Press - 600ml,Equipment,1,1199,0.0,Mobile App,Quarterly,Chennai
ORD100068,CUST00017,2025-01-26,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Mobile App,Quarterly,Chennai
ORD100068,CUST00017,2025-01-26,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Mobile App,Quarterly,Chennai
ORD100079,CUST00018,2025-04-28,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,20.0,Mobile App,Monthly,Mumbai
ORD100080,CUST00019,2025-05-04,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Website,One-time,jaipur
ORD100081,CUST00020,2025-07-16,Reusable Cold Brew Bottle,Merchandise,2,599,10.0,Mobile App,One-time,kolkata
ORD100082,CUST00021,2025-03-14,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Retail Store,One-time,hyderabad
ORD100082,CUST00021,2025-03-14,French Press - 600ml,Equipment,3,1199,0.0,Retail Store,One-time,hyderabad
ORD100082,CUST00021,2025-03-14,Manual Burr Grinder,Equipment,1,2499,0.0,Retail Store,One-time,hyderabad
ORD100083,CUST00021,2025-04-22,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,One-time,hyderabad
ORD100083,CUST00021,2025-04-22,Manual Burr Grinder,Equipment,3,2499,0.0,Website,One-time,hyderabad
ORD100086,CUST00022,2024-11-21,Manual Burr Grinder,Equipment,1,2499,0.0,Marketplace,Monthly,Cochin
ORD100086,CUST00022,2024-11-21,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Marketplace,Monthly,Cochin
ORD100090,CUST00022,2024-12-23,French Press - 600ml,Equipment,2,1199,0.0,Website,Monthly,Kochi
ORD100090,CUST00022,2024-12-23,Pour-Over Dripper,Equipment,2,899,0.0,Website,Monthly,Kochi
ORD100090,CUST00022,2024-12-23,Coorg Robusta Blend - 500g,Coffee Beans,1,599,10.0,Website,Monthly,Kochi
ORD100098,CUST00022,2024-12-28,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Marketplace,One-time,Kochi
ORD100098,CUST00022,2024-12-28,Kaapi Culture Mug,Merchandise,1,349,0.0,Marketplace,One-time,Kochi
ORD100096,CUST00022,2025-01-06,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Mobile App,One-time,Cochin
ORD100096,CUST00022,2025-01-06,Kaapi Culture Mug,Merchandise,1,349,25.0,Mobile App,One-time,Cochin
ORD100093,CUST00022,2025-01-09,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Monthly,Cochin
ORD100093,CUST00022,2025-01-09,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Mobile App,Monthly,Cochin
ORD100093,CUST00022,2025-01-09,Discovery Subscription Box (3 origins),Subscription Box,1,1299,20.0,Mobile App,Monthly,Cochin
ORD100097,CUST00022,2025-01-13,Coorg Robusta Blend - 500g,Coffee Beans,1,599,25.0,Website,One-time,kochi
ORD100097,CUST00022,2025-01-13,Attikan Estate AA - 250g,Coffee Beans,1,449,10.0,Website,One-time,kochi
ORD100097,CUST00022,2025-01-13,French Press - 600ml,Equipment,1,1199,0.0,Website,One-time,kochi
ORD100087,CUST00022,2025-01-23,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Mobile App,Bi-Weekly,kochi
ORD100087,CUST00022,2025-01-23,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Mobile App,Bi-Weekly,kochi
ORD100087,CUST00022,2025-01-23,Kaapi Culture Mug,Merchandise,2,349,0.0,Mobile App,Bi-Weekly,kochi
ORD100087,CUST00022,2025-01-23,Attikan Estate AA - 250g,Coffee Beans,1,449,10.0,Mobile App,Bi-Weekly,kochi
ORD100085,CUST00022,2025-01-26,Explorer Subscription Box (5 origins),Subscription Box,2,1899,0.0,Website,One-time,Kochi
ORD100085,CUST00022,2025-01-26,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,One-time,Kochi
ORD100095,CUST00022,2025-01-31,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Monthly,Kochi
ORD100094,CUST00022,2025-02-02,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,One-time,kochi
ORD100094,CUST00022,2025-02-02,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Website,One-time,kochi
ORD100084,CUST00022,2025-04-05,Coorg Robusta Blend - 500g,Coffee Beans,1,599,0.0,Website,One-time,Kochi
ORD100092,CUST00022,2025-04-05,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,Quarterly,Cochin
ORD100092,CUST00022,2025-04-05,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Website,Quarterly,Cochin
ORD100091,CUST00022,2025-04-13,Attikan Estate AA - 250g,Coffee Beans,1,449,0.0,Mobile App,Monthly,Cochin
ORD100089,CUST00022,2025-06-24,Discovery Subscription Box (3 origins),Subscription Box,2,1299,0.0,Marketplace,Quarterly,kochi
ORD100088,CUST00022,2025-07-18,Attikan Estate AA - 250g,Coffee Beans,1,449,0.0,Mobile App,Monthly,Cochin
ORD100088,CUST00022,2025-07-18,Explorer Subscription Box (5 origins),Subscription Box,-1,1899,0.0,Mobile App,Monthly,Cochin
ORD100099,CUST00023,2024-03-07,Discovery Subscription Box (3 origins),Subscription Box,1,1299,10.0,Mobile App,Monthly,
ORD100102,CUST00023,2024-03-10,Explorer Subscription Box (5 origins),Subscription Box,1,1899,10.0,Website,Bi-Weekly,Chennai
ORD100102,CUST00023,2024-03-10,Manual Burr Grinder,Equipment,1,2499,0.0,Website,Bi-Weekly,Chennai
ORD100106,CUST00023,2024-03-27,Manual Burr Grinder,Equipment,1,2499,0.0,Mobile App,Quarterly,chennai
ORD100105,CUST00023,2024-06-20,Discovery Subscription Box (3 origins),Subscription Box,1,1299,,Mobile App,Monthly,chennai
ORD100110,CUST00023,2024-06-24,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Mobile App,Quarterly,chennai
ORD100104,CUST00023,2024-07-20,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Website,Monthly,Chennai
ORD100104,CUST00023,2024-07-20,Discovery Subscription Box (3 origins),Subscription Box,2,1299,0.0,Website,Monthly,Chennai
ORD100101,CUST00023,2024-11-30,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Mobile App,One-time,chennai
ORD100101,CUST00023,2024-11-30,Manual Burr Grinder,Equipment,1,2499,0.0,Mobile App,One-time,chennai
ORD100101,CUST00023,2024-11-30,Filter Coffee Decoction - 200ml,Ready to Drink,1,149,0.0,Mobile App,One-time,chennai
ORD100101,CUST00023,2024-11-30,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Mobile App,One-time,chennai
ORD100108,CUST00023,2024-12-20,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Bi-Weekly,Chennai
ORD100108,CUST00023,2024-12-20,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,,Mobile App,Bi-Weekly,Chennai
ORD100103,CUST00023,2025-01-09,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Monthly,chennai
ORD100109,CUST00023,2025-02-01,Kaapi Culture Mug,Merchandise,1,349,0.0,Website,Monthly,chennai
ORD100100,CUST00023,2025-03-27,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Mobile App,One-time,chennai
ORD100100,CUST00023,2025-03-27,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,10.0,Mobile App,One-time,chennai
ORD100107,CUST00023,2025-04-13,Manual Burr Grinder,Equipment,1,2499,0.0,Website,Monthly,chennai
ORD100107,CUST00023,2025-04-13,Manual Burr Grinder,Equipment,1,2499,15.0,Website,Monthly,chennai
ORD100107,CUST00023,2025-04-13,Pour-Over Dripper,Equipment,1,899,0.0,Website,Monthly,chennai
ORD100107,CUST00023,2025-04-13,Attikan Estate AA - 250g,Coffee Beans,1,449,0.0,Website,Monthly,chennai
ORD100116,CUST00024,2023-07-08,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Website,One-time,Bengaluru
ORD100116,CUST00024,2023-07-08,Cold Brew Concentrate - 500ml,Ready to Drink,2,349,0.0,Website,One-time,Bengaluru
ORD100115,CUST00024,2023-08-05,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Website,One-time,bengaluru
ORD100115,CUST00024,2023-08-05,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,10.0,Website,One-time,bengaluru
ORD100122,CUST00024,2023-08-22,Explorer Subscription Box (5 origins),Subscription Box,1,1899,15.0,Mobile App,One-time,Bangalore
ORD100122,CUST00024,2023-08-22,French Press - 600ml,Equipment,1,1199,0.0,Mobile App,One-time,Bangalore
ORD100122,CUST00024,2023-08-22,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Mobile App,One-time,Bangalore
ORD100120,CUST00024,2023-10-03,Pour-Over Dripper,Equipment,-2,899,20.0,Retail Store,Quarterly,bengaluru
ORD100118,CUST00024,2024-01-30,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Website,Quarterly,bengaluru
ORD100118,CUST00024,2024-01-30,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,0.0,Website,Quarterly,bengaluru
ORD100123,CUST00024,2024-07-15,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Mobile App,One-time,Bengaluru
ORD100117,CUST00024,2024-07-21,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,Quarterly,Bangalore
ORD100117,CUST00024,2024-07-21,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,10.0,Mobile App,Quarterly,Bangalore
ORD100112,CUST00024,2024-08-17,Pour-Over Dripper,Equipment,1,899,0.0,Mobile App,One-time,bengaluru
ORD100119,CUST00024,2024-10-15,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Website,Bi-Weekly,bengaluru
ORD100119,CUST00024,2024-10-15,Coorg Robusta Blend - 500g,Coffee Beans,1,599,,Website,Bi-Weekly,bengaluru
ORD100119,CUST00024,2024-10-15,Kaapi Culture Mug,Merchandise,1,349,0.0,Website,Bi-Weekly,bengaluru
ORD100119,CUST00024,2024-10-15,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,Bi-Weekly,bengaluru
ORD100113,CUST00024,2024-11-10,Cold Brew Concentrate - 500ml,Ready to Drink,1,349,0.0,Mobile App,One-time,Bengaluru
ORD100114,CUST00024,2024-12-31,Explorer Subscription Box (5 origins),Subscription Box,1,1899,0.0,Mobile App,Monthly,bengaluru
ORD100121,CUST00024,2025-07-14,Coorg Robusta Blend - 500g,Coffee Beans,3,599,0.0,Website,Quarterly,Bengaluru
ORD100111,CUST00024,2025-08-15,Discovery Subscription Box (3 origins),Subscription Box,1,1299,0.0,Retail Store,Monthly,Bengaluru
ORD100111,CUST00024,2025-08-15,Baba Budangiri Peaberry - 250g,Coffee Beans,1,499,0.0,Retail Store,Monthly,Bengaluru
ORD100111,CUST00024,2025-08-15,French Press - 600ml,Equipment,1,1199,0.0,Retail Store,Monthly,Bengaluru
ORD100124,CUST00025,2025-08-26,Manual Burr Grinder,Equipment,1,2499,0.0,Website,Bi-Weekly,delhi
ORD100125,CUST00026,2024-01-13,Pour-Over Dripper,Equipment,1,899,15.0,Website,One-time,Bengaluru
ORD100127,CUST00026,2024-02-26,Cold Brew Concentrate - 500ml,Ready to Drink,2,349,10.0,Marketplace,One-time,Bengaluru
ORD100126,CUST00026,2024-05-02,Chikmagalur Single Origin - 250g,Coffee Beans,1,529,15.0,Marketplace,Bi-Weekly,Bengaluru
ORD100145,CUST00027,2023-04-19,Reusable Cold Brew Bottle,Merchandise,1,599,0.0,Website,One-time,Bengaluru
